Probe	UNQ	Reference	Name	Description	Category	Highest Immune Level	Immune/Non-Immune Ratio
203063_at	UNQ11577	LL:9647	PPM1F	protein phosphatase 1F (PP2C domain containing)	Myeloid	2038	3.4
202166_s_at	UNQ14084	LL:5504	PPP1R2	"protein phosphatase 1, regulatory (inhibitor) subunit 2"	Multiple	2893	4.05
202165_at	UNQ14084	LL:5504	PPP1R2	"protein phosphatase 1, regulatory (inhibitor) subunit 2"	Lymphocyte	2079	3.58
200975_at	UNQ1752	LL:5538	PPT1	"palmitoyl-protein thioesterase 1 (ceroid-lipofuscinosis, neuronal 1, infantile)"	Myeloid	11368	3.48
241742_at	UNQ16287	LL:84106	PRAM-1	PRAM-1 protein	Monocyte	6588	16.07
218009_s_at	UNQ14720	LL:9055	PRC1	protein regulator of cytokinesis 1	T Cell	2036	5.03
228964_at	UNQ10211	LL:639	PRDM1	"PR domain containing 1, with ZNF domain"	Multiple	7458	4.11
203057_s_at	UNQ15186	LL:7799	PRDM2	"PR domain containing 2, with ZNF domain"	Lymphocyte	2578	3.53
224909_s_at	UNQ16674	LL:57580	PREX1	"phosphatidylinositol 3,4,5-trisphosphate-dependent RAC exchanger 1"	Multiple	14443	7.85
224925_at	UNQ16674	LL:57580	PREX1	"phosphatidylinositol 3,4,5-trisphosphate-dependent RAC exchanger 1"	Multiple	7344	3.98
214617_at	UNQ1312	LL:5551	PRF1	perforin 1 (pore forming protein)	Lymphocyte	23014	23.48
213113_s_at	UNQ1174	LL:5553	PRG2	"proteoglycan 2, bone marrow (natural killer cell activator, eosinophil granule major basic protein)"	Multiple	6413	4.05
210692_s_at	UNQ1174	LL:5553	PRG2	"proteoglycan 2, bone marrow (natural killer cell activator, eosinophil granule major basic protein)"	Multiple	2391	3.86
232811_x_at	UNQ12647	LL:144165	PRICKLE1	prickle-like 1 (Drosophila)	Multiple	2818	3.44
218764_at	UNQ10430	LL:5583	PRKCH	"protein kinase C, eta"	Lymphocyte	7893	5.72
206099_at	UNQ10430	LL:5583	PRKCH	"protein kinase C, eta"	Lymphocyte	3046	4.03
210038_at	UNQ5026	LL:5588	PRKCQ	"protein kinase C, theta"	Lymphocyte	3550	6.02
204060_s_at	UNQ16704	LL:5613	PRKX	"protein kinase, X-linked"	Lymphocyte	2684	4.51
227510_x_at	UNQ11927	LL:29005	PRO1073	PRO1073 protein	Multiple	21954	9.52
231735_s_at	UNQ11927	LL:29005	PRO1073	PRO1073 protein	Multiple	11345	7.77
228582_x_at	UNQ11927	LL:29005	PRO1073	PRO1073 protein	Multiple	8801	4.8
223577_x_at	UNQ11927	LL:29005	PRO1073	PRO1073 protein	Multiple	7958	3.72
223578_x_at	UNQ11927	LL:29005	PRO1073	PRO1073 protein	Multiple	6733	11.71
223940_x_at	UNQ11927	LL:29005	PRO1073	PRO1073 protein	Multiple	50622	12.82
224568_x_at	UNQ11927	LL:29005	PRO1073	PRO1073 protein	Multiple	30800	14.95
226675_s_at	UNQ11927	LL:29005	PRO1073	PRO1073 protein	Multiple	8815	7.5
222740_at	UNQ13587	LL:29028	PRO2000	PRO2000 protein	T Cell	2621	7.82
228401_at	UNQ13587	LL:29028	PRO2000	PRO2000 protein	Lymphocyte	2382	5.18
232629_at	UNQ12034	LL:60675	PROK2	prokineticin 2	Neutrophil	13698	57.08
213193_x_at	UNQ1367	LL:5644	PRSS1	"protease, serine, 1 (trypsin 1)"	Lymphocyte	19741	10.56
211796_s_at	UNQ1367	LL:5644	PRSS1	"protease, serine, 1 (trypsin 1)"	Lymphocyte	19486	18.13
210915_x_at	UNQ1367	LL:5644	PRSS1	"protease, serine, 1 (trypsin 1)"	Lymphocyte	17067	12.06
202880_s_at	UNQ10805	LL:9267	PSCD1	"pleckstrin homology, Sec7 and coiled-coil domains 1(cytohesin 1)"	Multiple	4107	5.66
219183_s_at	UNQ16219	LL:27128	PSCD4	"pleckstrin homology, Sec7 and coiled-coil domains 4"	Multiple	4475	8.69
209606_at	UNQ14375	LL:9595	PSCDBP	"pleckstrin homology, Sec7 and coiled-coil domains, binding protein"	Multiple	7069	11.88
201404_x_at	UNQ14613	LL:5690	PSMB2	"proteasome (prosome, macropain) subunit, beta type, 2"	Multiple	3161	3.49
208777_s_at	UNQ17123	LL:5717	PSMD11	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 11"	Multiple	4219	4.22
211661_x_at	UNQ11966	LL:5724	PTAFR	platelet-activating factor receptor	Myeloid	4673	6.87
204053_x_at	UNQ2113	LL:5728	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	Myeloid	5470	4.5
211711_s_at	UNQ2113	LL:5728	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	Myeloid	2553	4.96
234165_at	UNQ3458	LL:5729	PTGDR	prostaglandin D2 receptor (DP)	NK Cell	2309	3.85
215894_at	UNQ3458	LL:5729	PTGDR	prostaglandin D2 receptor (DP)	Lymphocyte	2161	17.29
206631_at	UNQ8279	LL:5732	PTGER2	"prostaglandin E receptor 2 (subtype EP2), 53kDa"	Multiple	4817	9.73
204748_at	UNQ1317	LL:5743	PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	Myeloid	6842	5.61
226034_at	UNQ2625	LL:1846	PTP	dual specificity phosphatase 4	T Cell	9873	4.72
208615_s_at	UNQ19192	LL:8073	PTP4A2	"protein tyrosine phosphatase type IVA, member 2"	Multiple	4641	4.96
227396_at	UNQ1760	LL:5795	PTPJ	"protein tyrosine phosphatase, receptor type, J"	Multiple	9677	4.36
202716_at	UNQ5696	LL:5770	PTPN1	"protein tyrosine phosphatase, non-receptor type 1"	Multiple	2686	3.7
236539_at	UNQ5127	LL:26191	PTPN22	"protein tyrosine phosphatase, non-receptor type 22 (lymphoid)"	Multiple	2580	12.59
205171_at	UNQ17124	LL:5775	PTPN4	"protein tyrosine phosphatase, non-receptor type 4 (megakaryocyte)"	Lymphocyte	4713	9.92
206687_s_at	UNQ7971	LL:5777	PTPN6	"protein tyrosine phosphatase, non-receptor type 6"	Multiple	5614	4.9
204852_s_at	UNQ16520	LL:5778	PTPN7	"protein tyrosine phosphatase, non-receptor type 7"	Lymphocyte	3542	8.05
212587_s_at	UNQ1467	LL:5788	PTPRC	"protein tyrosine phosphatase, receptor type, C"	Multiple	21840	39.35
212588_at	UNQ1467	LL:5788	PTPRC	"protein tyrosine phosphatase, receptor type, C"	Multiple	11665	8.1
207238_s_at	UNQ1467	LL:5788	PTPRC	"protein tyrosine phosphatase, receptor type, C"	Multiple	10669	9.79
204960_at	UNQ5067	LL:5790	PTPRCAP	"protein tyrosine phosphatase, receptor type, C-associated protein"	Lymphocyte	4487	16.62
221840_at	UNQ1016	LL:5791	PTPRE	"protein tyrosine phosphatase, receptor type, E"	Myeloid	9794	7
208121_s_at	UNQ4334	LL:5800	PTPRO	"protein tyrosine phosphatase, receptor type, O"	Myeloid	3728	5.65
203554_x_at	UNQ16570	LL:9232	PTTG1	pituitary tumor-transforming 1	Lymphocyte	5262	3.43
206157_at	UNQ1340	LL:5806	PTX3	"pentaxin-related gene, rapidly induced by IL-1 beta"	Monocyte	2764	4.13
232079_s_at	UNQ11151	LL:5819	PVRL2	poliovirus receptor-related 2 (herpesvirus entry mediator B)	Dendritic Cell	2577	3.46
226219_at	UNQ10664	LL:81607	PVRL4	Ig superfamily receptor LNIR	Multiple	12751	6.04
201087_at	UNQ15954	LL:5829	PXN	paxillin	Multiple	3803	3.47
205174_s_at	UNQ1763	LL:25797	QPCT	glutaminyl-peptide cyclotransferase (glutaminyl cyclase)	Multiple	3007	15.42
218949_s_at	UNQ17325	LL:55278	QRSL1	glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1	B Cell	2435	4.51
222981_s_at	UNQ3766	LL:10890	RAB10	"RAB10, member RAS oncogene family"	Myeloid	22578	5.93
225251_at	UNQ7030	LL:53917	RAB24	"RAB24, member RAS oncogene family"	Multiple	6914	4.83
228003_at	UNQ14723	LL:27314	RAB30	"RAB30, member RAS oncogene family"	Multiple	6305	3.44
229072_at	UNQ14723	LL:27314	RAB30	"RAB30, member RAS oncogene family"	Multiple	5454	3.72
228390_at	UNQ14723	LL:27314	RAB30	"RAB30, member RAS oncogene family"	Dendritic Cell	5431	4.24
228113_at	UNQ16859	LL:326624	RAB37	"RAB37, member of RAS oncogene family"	Multiple	6056	6.62
221808_at	UNQ8784	LL:9367	RAB9A	"RAB9A, member RAS oncogene family"	Dendritic Cell	7115	5.76
213603_s_at	UNQ14636	LL:5880	RAC2	"ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)"	Multiple	19143	6.8
207419_s_at	UNQ14636	LL:5880	RAC2	"ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)"	Multiple	4353	12.44
222077_s_at	UNQ7886	LL:29127	RACGAP1	Rac GTPase activating protein 1	Lymphocyte	2220	5.92
212646_at	UNQ14970	LL:23180	RAFTLIN	raft-linking protein	Multiple	10748	4
214435_x_at	UNQ5008	LL:5898	RALA	v-ral simian leukemia viral oncogene homolog A (ras related)	Multiple	2453	4.67
202100_at	UNQ2114	LL:5899	RALB	v-ral simian leukemia viral oncogene homolog B (ras related; GTP binding protein)	Neutrophil	6168	4.07
227224_at	UNQ16051	LL:55103	RALGPS2	Ral-A exchange factor RalGPS2	B Cell	7687	5.16
222680_s_at	UNQ14869	LL:51514	RAMP	RA-regulated nuclear matrix-associated protein	Lymphocyte	5735	8.5
218585_s_at	UNQ14869	LL:51514	RAMP	RA-regulated nuclear matrix-associated protein	Lymphocyte	2089	8.7
239409_at	UNQ2218	LL:5906	RAP1A	"RAP1A, member of RAS oncogene family"	Multiple	2038	3.61
227897_at	UNQ4956	LL:5912	RAP2B	"RAP2B, member of RAS oncogene family"	Multiple	20218	8.24
218669_at	UNQ5186	LL:57826	RAP2C	"RAP2C, member of RAS oncogene family"	Multiple	2310	4.4
225738_at	UNQ14581	LL:2889	RAPGEF1	guanine nucleotide-releasing factor 2 (specific for crk proto-oncogene)	Multiple	7949	3.79
226389_s_at	UNQ14581	LL:2889	RAPGEF1	guanine nucleotide-releasing factor 2 (specific for crk proto-oncogene)	Multiple	5774	6.75
230078_at	UNQ11889	LL:51735	RAPGEF6		Multiple	8399	5.35
228250_at	UNQ11889	LL:51735	RAPGEF6		Multiple	3063	5.52
203749_s_at	UNQ2164	LL:5914	RARA	"retinoic acid receptor, alpha"	Myeloid	2250	4.25
230669_at	UNQ17188	LL:5922	RASA2	RAS p21 protein activator 2	Multiple	8035	3.65
226392_at	UNQ17188	LL:5922	RASA2	RAS p21 protein activator 2	Lymphocyte	7274	4.63
225562_at	UNQ12252	LL:22821	RASA3		Multiple	3445	6.38
222810_s_at	UNQ11638	LL:9462	RASAL2	RAS protein activator like 2	Myeloid	7946	5.42
205590_at	UNQ10447	LL:10125	RASGRP1	RAS guanyl releasing protein 1 (calcium and DAG-regulated)	Multiple	4352	5.62
208206_s_at	UNQ7422	LL:10235	RASGRP2	RAS guanyl releasing protein 2 (calcium and DAG-regulated)	Multiple	5109	18.58
214369_s_at	UNQ7422	LL:10235	RASGRP2	RAS guanyl releasing protein 2 (calcium and DAG-regulated)	Lymphocyte	3298	5.59
205801_s_at	UNQ14411	LL:25780	RASGRP3	RAS guanyl releasing protein 3 (calcium and DAG-regulated)	Multiple	3273	13.93
240862_at	UNQ12472	LL:115727	RASGRP4	RAS guanyl releasing protein 4	Myeloid	3746	10.7
203185_at	UNQ14095	LL:9770	RASSF2	Ras association (RalGDS/AF-6) domain family 2	Myeloid	8570	4.7
230466_s_at	UNQ18641	LL:283349	RASSF3	Ras association (RalGDS/AF-6) domain family 3	Myeloid	13791	5.55
226436_at	UNQ12570	LL:83937	RASSF4	Ras association (RalGDS/AF-6) domain family 4	Myeloid	22753	7.26
49306_at	UNQ12570	LL:83937	RASSF4	Ras association (RalGDS/AF-6) domain family 4	Myeloid	3090	11.44
221578_at	UNQ12570	LL:83937	RASSF4	Ras association (RalGDS/AF-6) domain family 4	Dendritic Cell	2784	6.96
223322_at	UNQ4195	LL:83593	RASSF5	Ras association (RalGDS/AF-6) domain family 5	Multiple	16658	4.55
202040_s_at	UNQ14091	LL:5927	RBBP2	retinoblastoma binding protein 2	Multiple	3088	4.35
237333_at	UNQ5681	LL:5928	RBBP4	retinoblastoma binding protein 4	Multiple	2130	4.18
212332_at	UNQ2584	LL:5934	RBL2	retinoblastoma-like 2 (p130)	Multiple	3039	9.07
225265_at	UNQ7479	LL:5937	RBMS1	"RNA binding motif, single stranded interacting protein 1"	Multiple	8336	3.91
219681_s_at	UNQ15889	LL:80223	RCP	Rab coupling protein	Multiple	4710	3.43
212398_at	UNQ7364	LL:5962	RDX	radixin	Myeloid	2970	3.51
206036_s_at	UNQ2070	LL:5966	REL	v-rel reticuloendotheliosis viral oncogene homolog (avian)	Multiple	3058	10.03
235242_at	UNQ2070	LL:5966	REL	v-rel reticuloendotheliosis viral oncogene homolog (avian)	Multiple	19592	6.79
239486_at	UNQ2070	LL:5966	REL	v-rel reticuloendotheliosis viral oncogene homolog (avian)	Myeloid	4578	13.27
205205_at	UNQ5012	LL:5971	RELB	"v-rel reticuloendotheliosis viral oncogene homolog B, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3 (avian)"	Multiple	2911	8.32
204023_at	UNQ17503	LL:5984	RFC4	"replication factor C (activator 1) 4, 37kDa"	Lymphocyte	2340	4.37
235816_s_at	UNQ22794	LL:266747	Rgr	Ral-GDS related protein Rgr	Multiple	2600	20.8
216834_at	UNQ13708	LL:5996	RGS1	regulator of G-protein signalling 1	Multiple	9094	4.43
202988_s_at	UNQ13708	LL:5996	RGS1	regulator of G-protein signalling 1	Multiple	2272	4.68
223809_at	UNQ15073	LL:64407	RGS18	regulator of G-protein signalling 18	Myeloid	10444	20.89
204336_s_at	UNQ16678	LL:10287	RGS19	regulator of G-protein signalling 19	Multiple	4914	6.64
206298_at	UNQ18916	LL:58504	RhoGAP2	Rho GTPase activating protein 2	Dendritic Cell	3528	13.31
236293_at	UNQ5016	LL:399	RHOH	"ras homolog gene family, member H"	Multiple	4170	11.27
60471_at	UNQ16739	LL:79890	RIN3	Ras and Rab interactor 3	Multiple	2304	3.81
224450_s_at	UNQ16957	LL:83732	RIOK1	RIO kinase 1 (yeast)	Lymphocyte	3686	3.74
209545_s_at	UNQ277	LL:8767	RIPK2	receptor-interacting serine-threonine kinase 2	Myeloid	5571	7.1
209882_at	UNQ15266	LL:6016	RIT1	Ras-like without CAAX 1	Myeloid	4839	16.69
243463_s_at	UNQ15266	LL:6016	RIT1	Ras-like without CAAX 1	Myeloid	3114	5.06
239843_at	UNQ15266	LL:6016	RIT1	Ras-like without CAAX 1	Myeloid	2387	6.63
230292_at	UNQ14111	LL:1102	RLG	chromosome condensation 1-like	Myeloid	7560	4.22
222062_at	UNQ296	LL:117579	RLN3	relaxin 3 (H3)	Multiple	2702	13.86
206111_at	UNQ1345	LL:6036	RNASE2	"ribonuclease, RNase A family, 2 (liver, eosinophil-derived neurotoxin)"	Myeloid	3509	10.32
213566_at	UNQ1770	LL:6039	RNASE6	"ribonuclease, RNase A family, k6"	Multiple	7826	13.61
217984_at	UNQ4600	LL:8635	RNASET2	ribonuclease T2	Multiple	18545	7.15
235199_at	UNQ16801	LL:54941	RNF125	ring finger protein 125	Lymphocyte	7770	6.97
201779_s_at	UNQ16056	LL:11342	RNF13	ring finger protein 13	Myeloid	12471	4.86
201780_s_at	UNQ16056	LL:11342	RNF13	ring finger protein 13	Myeloid	5103	4.32
226106_at	UNQ21506	LL:50862	RNF141	ring finger protein 141	Neutrophil	10935	3.59
225414_at	UNQ4467	LL:284996	RNF149	ring finger protein 149	Myeloid	24141	6.97
235536_at	UNQ4467	LL:284996	RNF149	ring finger protein 149	Multiple	3788	4.23
226542_at	UNQ5316	LL:11237	RNF24	ring finger protein 24	Myeloid	4874	3.58
232792_at	UNQ18851	LL:140691	RNF36	ring finger protein 36	Multiple	2037	7.99
227223_at	UNQ10548	LL:9584	RNPC2	"RNA-binding region (RNP1, RRM) containing 2"	Multiple	5741	5.24
214349_at	UNQ16066	LL:6066	RNU2	"RNA, U2 small nuclear"	Monocyte	5672	15.33
224618_at	UNQ13943	LL:9991	ROD1	ROD1 regulator of differentiation 1 (S. pombe)	Multiple	6062	8.3
214697_s_at	UNQ13943	LL:9991	ROD1	ROD1 regulator of differentiation 1 (S. pombe)	Multiple	3029	13.77
235567_at	UNQ7580	LL:6095	RORA	RAR-related orphan receptor A	Lymphocyte	6585	9.15
222679_s_at	UNQ17363	LL:54165	RP42	RP42 homolog	Multiple	4570	6.05
222678_s_at	UNQ17363	LL:54165	RP42	RP42 homolog	Multiple	2377	8.06
209507_at	UNQ14672	LL:6119	RPA3	"replication protein A3, 14kDa"	Lymphocyte	3391	3.39
213638_at	UNQ17539	LL:221692	RPEL1	RPEL repeat containing 1	Monocyte	2019	18.35
212973_at	UNQ11284	LL:22934	RPIA	ribose 5-phosphate isomerase A (ribose 5-phosphate epimerase)	Lymphocyte	2425	3.44
201011_at	UNQ1767	LL:6184	RPN1	ribophorin I	B Cell	5487	3.63
238935_at	UNQ16630	LL:51065	RPS27L	ribosomal protein S27-like	Myeloid	5660	6.54
222514_at	UNQ17383	LL:64121	RRAGC	Ras-related GTP binding C	Myeloid	9909	3.5
201476_s_at	UNQ10287	LL:6240	RRM1	ribonucleotide reductase M1 polypeptide	T Cell	2364	3.53
209773_s_at	UNQ10157	LL:6241	RRM2	ribonucleotide reductase M2 polypeptide	Lymphocyte	10354	10.2
201890_at	UNQ10157	LL:6241	RRM2	ribonucleotide reductase M2 polypeptide	Lymphocyte	5027	9.31
227916_x_at	UNQ16858	LL:51010	RRP40	exosome component Rrp40	Multiple	3582	5.01
223490_s_at	UNQ16858	LL:51010	RRP40	exosome component Rrp40	Multiple	2050	8.91
232231_at	UNQ7403	LL:860	RUNX2	runt-related transcription factor 2	Multiple	6608	5.65
204198_s_at	UNQ15786	LL:864	RUNX3	runt-related transcription factor 3	Multiple	7307	14.19
204197_s_at	UNQ15786	LL:864	RUNX3	runt-related transcription factor 3	Multiple	6779	13.98
201846_s_at	UNQ16871	LL:23429	RYBP	RING1 and YY1 binding protein	Multiple	4109	3.95
205863_at	UNQ15359	LL:6283	S100A12	S100 calcium binding protein A12 (calgranulin C)	Myeloid	11929	14.2
203535_at	UNQ3566	LL:6280	S100A9	S100 calcium binding protein A9 (calgranulin B)	Myeloid	46916	12.54
236782_at	UNQ18475	LL:154075	SAMD3	sterile alpha motif domain containing 3	Lymphocyte	8977	17.95
234987_at	UNQ11146	LL:25939	SAMHD1	SAM domain and HD domain 1	Multiple	16183	6.11
204502_at	UNQ11146	LL:25939	SAMHD1	SAM domain and HD domain 1	Multiple	3160	5.45
220330_s_at	UNQ12838	LL:64092	SAMSN1	"SAM domain, SH3 domain and nuclear localisation signals, 1"	Multiple	7897	14.1
218854_at	UNQ11322	LL:29940	SART2	squamous cell carcinoma antigen recognized by T cells 2	Myeloid	2720	4.12
200069_at	UNQ14564	LL:9733	SART3	squamous cell carcinoma antigen recognised by T cells 3	Multiple	2987	4.27
242230_at	UNQ10986	LL:6310	SCA1	"spinocerebellar ataxia 1 (olivopontocerebellar ataxia 1, autosomal dominant, ataxin 1)"	Myeloid	3013	5.29
204362_at	UNQ9796	LL:8935	SCAP2	src family associated phosphoprotein 2	Myeloid	3733	5.49
216899_s_at	UNQ9796	LL:8935	SCAP2	src family associated phosphoprotein 2	Multiple	2251	6
220232_at	UNQ12072	LL:79966	SCD4	stearoyl-CoA desaturase 4	Multiple	6719	4.7
241775_at	UNQ3201	LL:23256	SCFD1	sec1 family domain containing 1	B Cell	2997	3.57
205241_at	UNQ17095	LL:9997	SCO2	SCO cytochrome oxidase deficient homolog 2 (yeast)	Myeloid	2839	4.54
218681_s_at	UNQ1941	LL:23753	SDF2L1	stromal cell-derived factor 2-like 1	Lymphocyte	4583	3.74
222958_s_at	UNQ16985	LL:55635	SDP35	cell cycle control protein SDP35	T Cell	2606	5.43
202084_s_at	UNQ13705	LL:6397	SEC14L1	SEC14-like 1 (S. cerevisiae)	Neutrophil	9237	3.52
202082_s_at	UNQ13705	LL:6397	SEC14L1	SEC14-like 1 (S. cerevisiae)	Multiple	6372	12.49
212902_at	UNQ4722	LL:10802	SEC24A	"SEC24 related gene family, member A (S. cerevisiae)"	B Cell	3352	5.83
204563_at	UNQ1694	LL:6402	SELL	selectin L (lymphocyte adhesion molecule 1)	Multiple	15373	26.74
209879_at	UNQ1352	LL:6404	SELPLG	selectin P ligand	Multiple	8310	7.95
209880_s_at	UNQ1352	LL:6404	SELPLG	selectin P ligand	Multiple	2014	6.01
240064_at	UNQ1352	LL:6404	SELPLG	selectin P ligand	Multiple	2355	4.36
203528_at	UNQ2085	LL:10507	SEMA4D	"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D"	Multiple	3204	6.41
227552_at	UNQ8062	LL:1731	SEPT1	septin 1	Lymphocyte	2899	10
212414_s_at	UNQ10236	LL:23157	SEPT6	septin 6	Lymphocyte	4712	5.51
212415_at	UNQ10236	LL:23157	SEPT6	septin 6	Multiple	2465	9.48
217977_at	UNQ5916	LL:51734	SEPX1	"selenoprotein X, 1"	Neutrophil	18563	5.04
204614_at	UNQ1734	LL:5055	SERPINB2	"serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 2"	Monocyte	17704	147.53
206421_s_at	UNQ9026	LL:8710	SERPINB7	"serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 7"	Monocyte	6574	109.57
242814_at	UNQ12559	LL:5272	SERPINB9	"serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 9"	Monocyte	12040	4.67
209723_at	UNQ12559	LL:5272	SERPINB9	"serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 9"	Multiple	3865	4.8
215780_s_at	UNQ33511	LL:345659	SET	similar to template acyivating factor-I alpha	Multiple	2906	4.93
210172_at	UNQ13854	LL:7536	SF1	splicing factor 1	Multiple	2794	5.64
227210_at	UNQ25425	LL:57713	SFMBT2	Scm-like with four mbt domains 2	Multiple	3612	6.28
201742_x_at	UNQ9898	LL:6426	SFRS1	"splicing factor, arginine/serine-rich 1 (splicing factor 2, alternate splicing factor)"	Multiple	6251	3.82
214882_s_at	UNQ9712	LL:6427	SFRS2	"splicing factor, arginine/serine-rich 2"	Multiple	6770	3.98
200753_x_at	UNQ9712	LL:6427	SFRS2	"splicing factor, arginine/serine-rich 2"	Lymphocyte	2840	3.42
213850_s_at	UNQ14452	LL:9169	SFRS2IP	"splicing factor, arginine/serine-rich 2, interacting protein"	Multiple	3797	5.03
209376_x_at	UNQ14452	LL:9169	SFRS2IP	"splicing factor, arginine/serine-rich 2, interacting protein"	Multiple	2470	3.61
227627_at	UNQ16976	LL:23678	SGKL	serum/glucocorticoid regulated kinase-like	Myeloid	10242	3.57
238567_at	UNQ12547	LL:130367	SGPP2	sphingosine-1-phosphate phosphotase 2	Myeloid	6051	8.9
226560_at	UNQ12547	LL:130367	SGPP2	sphingosine-1-phosphate phosphotase 2	Monocyte	14986	4.19
244780_at	UNQ12547	LL:130367	SGPP2	sphingosine-1-phosphate phosphotase 2	Multiple	5493	14.46
207351_s_at	UNQ16885	LL:9047	SH2D2A	SH2 domain protein 2A	Lymphocyte	2512	6.13
201810_s_at	UNQ5665	LL:9467	SH3BP5	SH3-domain binding protein 5 (BTK-associated)	Multiple	6705	4.71
211565_at	UNQ4216	LL:6457	SH3GL3	SH3-domain GRB2-like 3	Multiple	3638	9.7
209339_at	UNQ7684	LL:6478	SIAH2	seven in absentia homolog 2 (Drosophila)	Multiple	2281	3.74
225034_at	UNQ10051	LL:6482	SIAT4A	"sialyltransferase 4A (beta-galactoside alpha-2,3-sialyltransferase)"	Myeloid	5674	6.6
223285_s_at	UNQ6004	LL:27090	SIAT7D	"sialyltransferase 7D ((alpha-N-acetylneuraminyl-2,3-beta-galactosyl-1,3)-N-acetyl galactosaminide alpha-2,6-sialyltransferase)"	Multiple	2213	5.67
242943_at	UNQ7035	LL:7903	SIAT8D	"sialyltransferase 8D (alpha-2, 8-polysialyltransferase)"	Multiple	10164	33.88
230261_at	UNQ7035	LL:7903	SIAT8D	"sialyltransferase 8D (alpha-2, 8-polysialyltransferase)"	Multiple	5171	18.14
230836_at	UNQ7035	LL:7903	SIAT8D	"sialyltransferase 8D (alpha-2, 8-polysialyltransferase)"	Multiple	4992	11.75
206925_at	UNQ7035	LL:7903	SIAT8D	"sialyltransferase 8D (alpha-2, 8-polysialyltransferase)"	Multiple	2849	23.74
203760_s_at	UNQ10102	LL:6503	SLA	Src-like-adaptor	Multiple	4173	5.88
206181_at	UNQ5436	LL:6504	SLAMF1	signaling lymphocytic activation molecule family member 1	Multiple	2608	10.03
222838_at	UNQ576	LL:57823	SLAMF7	SLAM family member 7	Multiple	36986	37.74
234306_s_at	UNQ576	LL:57823	SLAMF7	SLAM family member 7	Multiple	22067	107.64
219159_s_at	UNQ576	LL:57823	SLAMF7	SLAM family member 7	Multiple	13396	78.8
219386_s_at	UNQ5893	LL:56833	SLAMF8	SLAM family member 8	Myeloid	3863	9.78
219385_at	UNQ5893	LL:56833	SLAMF8	SLAM family member 8	Myeloid	2240	5.03
210423_s_at	UNQ10797	LL:6556	SLC11A1	"solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1"	Myeloid	3472	5.18
203123_s_at	UNQ4333	LL:4891	SLC11A2	"solute carrier family 11 (proton-coupled divalent metal ion transporters), member 2"	Myeloid	2773	3.67
219593_at	UNQ11164	LL:51296	SLC15A3	"solute carrier family 15, member 3"	Myeloid	6553	5.93
225043_at	UNQ4183	LL:121260	SLC15A4	"solute carrier family 15, member 4"	Multiple	11071	5.77
225057_at	UNQ4183	LL:121260	SLC15A4	"solute carrier family 15, member 4"	Multiple	8004	7.41
202856_s_at	UNQ2181	LL:9123	SLC16A3	"solute carrier family 16 (monocarboxylic acid transporters), member 3"	Myeloid	3808	7.12
202855_s_at	UNQ2181	LL:9123	SLC16A3	"solute carrier family 16 (monocarboxylic acid transporters), member 3"	Myeloid	3390	13.84
230748_at	UNQ11947	LL:9120	SLC16A6	"solute carrier family 16 (monocarboxylic acid transporters), member 6"	Multiple	7183	7.89
210686_x_at	UNQ13946	LL:8034	SLC25A16	"solute carrier family 25 (mitochondrial carrier; Graves disease autoantigen), member 16"	Multiple	8965	5.01
226679_at	UNQ9329	LL:284129	SLC26A11	"solute carrier family 26, member 11"	Multiple	8175	4.57
222217_s_at	UNQ367	LL:11000	SLC27A3	"solute carrier family 27 (fatty acid transporter), member 3"	Dendritic Cell	6236	4.91
232277_at	UNQ12070	LL:64078	SLC28A3	"solute carrier family 28 (sodium-coupled nucleoside transporter), member 3"	Monocyte	3177	4.78
222088_s_at	UNQ26085	LL:144195	SLC2A14	"solute carrier family 2 (facilitated glucose transporter), member 14"	Multiple	3108	4.93
202499_s_at	UNQ2235	LL:6515	SLC2A3	"solute carrier family 2 (facilitated glucose transporter), member 3"	Multiple	4773	3.63
202497_x_at	UNQ2235	LL:6515	SLC2A3	"solute carrier family 2 (facilitated glucose transporter), member 3"	Multiple	3824	3.59
220091_at	UNQ17024	LL:11182	SLC2A6	"solute carrier family 2 (facilitated glucose transporter), member 6"	Myeloid	2486	9.94
203971_at	UNQ4632	LL:1317	SLC31A1	"solute carrier family 31 (copper transporters), member 1"	Monocyte	2042	4.54
204204_at	UNQ8975	LL:1318	SLC31A2	"solute carrier family 31 (copper transporters), member 2"	Myeloid	3072	3.66
